time,altitude,velocity,accel_bias,alt (bmp),vert_accel
0.0000,616.5372,0.0000,0.0000,616.5372,0.0000
0.0201,616.5373,0.0056,0.0000,616.5372,0.2250
0.0402,616.5375,0.0102,0.0000,616.5372,0.2255
0.0604,616.5366,0.0145,0.0000,616.2331,0.2259
0.0805,616.5354,0.0188,0.0000,616.2331,0.2244
0.1006,616.5343,0.0231,0.0000,616.2480,0.2211
0.1207,616.5334,0.0273,0.0000,616.2480,0.2212
0.1408,616.5325,0.0315,0.0001,616.2480,0.2157
0.1610,616.5319,0.0356,0.0001,616.2939,0.2131
0.1811,616.5315,0.0398,0.0001,616.2939,0.2163
0.2012,616.5311,0.0439,0.0001,616.2449,0.2166
0.2213,616.5305,0.0481,0.0001,616.2449,0.2160
0.2414,616.5301,0.0522,0.0001,616.2449,0.2176
0.2616,616.5298,0.0564,0.0001,616.2601,0.2172
0.2817,616.5296,0.0605,0.0001,616.2601,0.2117
0.3018,616.5295,0.0645,0.0001,616.2449,0.2097
0.3219,616.5294,0.0686,0.0002,616.2449,0.2145
0.3420,616.5294,0.0727,0.0002,616.2449,0.2111
0.3622,616.5295,0.0767,0.0002,616.2601,0.2153
0.3823,616.5297,0.0809,0.0002,616.2601,0.2163
0.4024,616.5300,0.0850,0.0002,616.2601,0.2155
0.4225,616.5304,0.0892,0.0002,616.2601,0.2190
0.4426,616.5308,0.0934,0.0002,616.2601,0.2202
0.4628,616.5315,0.0977,0.0002,616.2752,0.2250
0.4829,616.5322,0.1021,0.0002,616.2752,0.2247
0.5031,616.5329,0.1064,0.0002,616.2752,0.2216
0.5232,616.5338,0.1106,0.0003,616.2752,0.2206
0.5433,616.5348,0.1149,0.0003,616.2752,0.2239
0.5635,616.5356,0.1192,0.0003,616.2311,0.2254
0.5836,616.5365,0.1236,0.0003,616.2311,0.2267
0.6038,616.5375,0.1279,0.0003,616.2311,0.2205
0.6239,616.5385,0.1320,0.0003,616.2311,0.2199
0.6441,616.5397,0.1362,0.0003,616.2311,0.2204
0.6642,616.5412,0.1414,0.0003,616.2311,0.2148
0.6843,616.5425,0.1455,0.0004,616.2311,0.2126
0.7044,616.5439,0.1496,0.0004,616.2466,0.2130
0.7245,616.5454,0.1536,0.0004,616.2466,0.2183
0.7447,616.5470,0.1578,0.0004,616.2618,0.2222
0.7648,616.5488,0.1621,0.0004,616.2618,0.2240
0.7849,616.5506,0.1664,0.0004,616.2618,0.2270
0.8050,616.5526,0.1708,0.0004,616.2770,0.2273
0.8252,616.5546,0.1752,0.0004,616.2770,0.2282
0.8453,616.5568,0.1795,0.0005,616.2770,0.2256
0.8654,616.5590,0.1839,0.0005,616.2770,0.2256
0.8855,616.5613,0.1883,0.0005,616.2770,0.2326
0.9056,616.5637,0.1927,0.0005,616.2922,0.2299
0.9258,616.5662,0.1972,0.0005,616.2922,0.2315
0.9459,616.5688,0.2016,0.0005,616.3229,0.2341
0.9660,616.5717,0.2062,0.0005,616.3229,0.2366
0.9861,616.5746,0.2107,0.0005,616.3229,0.2349
1.0062,616.5775,0.2152,0.0005,616.3074,0.2324
1.0263,616.5805,0.2196,0.0005,616.3074,0.2275
1.0465,616.5835,0.2239,0.0006,616.3074,0.2251
1.0666,616.5866,0.2282,0.0006,616.3074,0.2272
1.0867,616.5898,0.2326,0.0006,616.3074,0.2272
1.1068,616.5929,0.2370,0.0006,616.2435,0.2311
1.1269,616.5959,0.2414,0.0006,616.2435,0.2336
1.1471,616.5990,0.2458,0.0006,616.2435,0.2304
1.1672,616.6022,0.2501,0.0006,616.2435,0.2257
1.1874,616.6054,0.2543,0.0007,616.2435,0.2245
1.2075,616.6087,0.2586,0.0007,616.2435,0.2272
1.2276,616.6121,0.2628,0.0007,616.2435,0.2192
1.2478,616.6155,0.2668,0.0007,616.2280,0.2161
1.2679,616.6189,0.2710,0.0007,616.2280,0.2212
1.2880,616.6224,0.2752,0.0007,616.2280,0.2248
1.3081,616.6259,0.2793,0.0007,616.2128,0.2218
1.3282,616.6294,0.2835,0.0008,616.2128,0.2199
1.3483,616.6330,0.2876,0.0008,616.2280,0.2156
1.3685,616.6368,0.2916,0.0008,616.2280,0.2166
1.3886,616.6406,0.2957,0.0008,616.2280,0.2186
1.4087,616.6445,0.2998,0.0008,616.2435,0.2173
1.4289,616.6485,0.3039,0.0008,616.2435,0.2185
1.4491,616.6525,0.3079,0.0009,616.2435,0.2176
1.4692,616.6567,0.3120,0.0009,616.2435,0.2162
1.4893,616.6609,0.3160,0.0009,616.2435,0.2131
1.5095,616.6651,0.3200,0.0009,616.2435,0.2129
1.5296,616.6694,0.3240,0.0009,616.2435,0.2160
1.5497,616.6738,0.3281,0.0009,616.2583,0.2195
1.5698,616.6783,0.3323,0.0010,616.2583,0.2260
1.5899,616.6828,0.3365,0.0010,616.2583,0.2264
1.6100,616.6874,0.3407,0.0010,616.2583,0.2272
1.6301,616.6933,0.3459,0.0010,616.2583,0.2216
1.6502,616.6980,0.3501,0.0010,616.2583,0.2215
1.6703,616.7029,0.3542,0.0010,616.2583,0.2225
1.6905,616.7077,0.3583,0.0011,616.2583,0.2202
1.7106,616.7126,0.3623,0.0011,616.2583,0.2157
1.7307,616.7176,0.3663,0.0011,616.2583,0.2109
1.7508,616.7226,0.3703,0.0011,616.1789,0.2150
1.7709,616.7273,0.3742,0.0011,616.1789,0.2130
1.7910,616.7320,0.3781,0.0012,616.1789,0.2154
1.8114,616.7368,0.3821,0.0012,616.1789,0.2168
1.8315,616.7417,0.3859,0.0012,616.1789,0.2126
1.8516,616.7466,0.3899,0.0012,616.1789,0.2132
1.8718,616.7515,0.3937,0.0013,616.1789,0.2088
1.8919,616.7565,0.3975,0.0013,616.1789,0.2114
1.9122,616.7615,0.4013,0.0013,616.1634,0.2130
1.9323,616.7666,0.4052,0.0013,616.1634,0.2182
1.9525,616.7717,0.4091,0.0014,616.1789,0.2165
