time,altitude,velocity,accel_bias,alt (bmp),vert_accel
1.9726,616.7769,0.4131,0.0014,616.1789,0.2157
1.9927,616.7822,0.4169,0.0014,616.1789,0.2136
2.0128,616.7875,0.4209,0.0014,616.1789,0.2166
2.0333,616.7929,0.4248,0.0014,616.1789,0.2165
2.0534,616.7982,0.4288,0.0015,616.1147,0.2225
2.0735,616.8033,0.4328,0.0015,616.1147,0.2263
2.0937,616.8086,0.4368,0.0015,616.1147,0.2248
2.1138,616.8138,0.4409,0.0016,616.1147,0.2241
2.1339,616.8191,0.4449,0.0016,616.1147,0.2216
2.1540,616.8245,0.4488,0.0016,616.1296,0.2184
2.1742,616.8300,0.4527,0.0016,616.1296,0.2214
2.1945,616.8356,0.4567,0.0017,616.1296,0.2229
2.2147,616.8412,0.4606,0.0017,616.1451,0.2186
2.2348,616.8470,0.4645,0.0017,616.1451,0.2150
2.2550,616.8527,0.4684,0.0018,616.1451,0.2213
2.2751,616.8585,0.4724,0.0018,616.1451,0.2250
2.2952,616.8644,0.4763,0.0018,616.1451,0.2246
2.3153,616.8704,0.4803,0.0018,616.1603,0.2162
2.3355,616.8764,0.4842,0.0019,616.1603,0.2174
2.3557,616.8841,0.4891,0.0019,616.1755,0.2218
2.3758,616.8903,0.4931,0.0019,616.1755,0.2277
2.3959,616.8966,0.4972,0.0020,616.1755,0.2278
2.4160,616.9029,0.5012,0.0020,616.1755,0.2249
2.4361,616.9093,0.5053,0.0020,616.1755,0.2316
2.4563,616.9156,0.5093,0.0020,616.1289,0.2282
2.4764,616.9219,0.5132,0.0021,616.1289,0.2200
2.4965,616.9282,0.5171,0.0021,616.1289,0.2194
2.5166,616.9345,0.5209,0.0021,616.1289,0.2184
2.5367,616.9409,0.5247,0.0022,616.1289,0.2158
2.5568,616.9473,0.5285,0.0022,616.1289,0.2166
2.5770,616.9537,0.5322,0.0022,616.1289,0.2145
2.5971,616.9603,0.5360,0.0023,616.1289,0.2159
2.6172,616.9668,0.5398,0.0023,616.1289,0.2174
2.6374,616.9734,0.5436,0.0023,616.1289,0.2211
2.6575,616.9800,0.5474,0.0024,616.1289,0.2205
2.6776,616.9867,0.5512,0.0024,616.1289,0.2241
2.6977,616.9934,0.5551,0.0024,616.1596,0.2197
2.7178,617.0003,0.5590,0.0025,616.1596,0.2243
2.7380,617.0073,0.5629,0.0025,616.1596,0.2270
