time,altitude,velocity,accel_bias,alt (bmp),vert_accel
4.9110,702.1561,-0.3496,-0.0014,702.6582,-0.0669
4.9311,702.1516,-0.3507,-0.0014,702.6582,-0.0711
4.9512,702.1472,-0.3517,-0.0014,702.6582,-0.0686
4.9713,702.1427,-0.3527,-0.0014,702.6582,-0.0739
4.9914,702.1383,-0.3538,-0.0014,702.6582,-0.0688
5.0116,702.1338,-0.3548,-0.0015,702.6582,-0.0739
5.0317,702.1294,-0.3559,-0.0015,702.6582,-0.0723
5.0518,702.1248,-0.3570,-0.0015,702.6297,-0.0725
5.0719,702.1202,-0.3582,-0.0015,702.6297,-0.0752
5.0920,702.1156,-0.3593,-0.0015,702.6446,-0.0756
5.1121,702.1111,-0.3604,-0.0016,702.6446,-0.0725
5.1324,702.1066,-0.3615,-0.0016,702.6446,-0.0694
5.1525,702.1021,-0.3625,-0.0016,702.6446,-0.0666
5.1726,702.0976,-0.3634,-0.0016,702.6446,-0.0653
5.1927,702.0931,-0.3644,-0.0016,702.6446,-0.0693
5.2128,702.0886,-0.3654,-0.0017,702.6446,-0.0727
5.2329,702.0841,-0.3666,-0.0017,702.6446,-0.0751
5.2532,702.0796,-0.3677,-0.0017,702.6600,-0.0727
5.2733,702.0752,-0.3687,-0.0017,702.6600,-0.0710
5.2934,702.0708,-0.3697,-0.0018,702.6753,-0.0735
5.3136,702.0664,-0.3708,-0.0018,702.6753,-0.0746
5.3337,702.0621,-0.3719,-0.0018,702.6753,-0.0761
5.3539,702.0576,-0.3730,-0.0018,702.6109,-0.0756
5.3740,702.0529,-0.3742,-0.0019,702.6109,-0.0833
5.3941,702.0482,-0.3754,-0.0019,702.6262,-0.0803
5.4142,702.0436,-0.3766,-0.0019,702.6262,-0.0791
5.4344,702.0390,-0.3778,-0.0019,702.6262,-0.0758
5.4545,702.0345,-0.3789,-0.0019,702.6415,-0.0804
5.4746,702.0300,-0.3801,-0.0020,702.6415,-0.0782
5.4947,702.0255,-0.3812,-0.0020,702.6262,-0.0765
5.5148,702.0197,-0.3826,-0.0020,702.6262,-0.0770
5.5350,702.0163,-0.3834,-0.0020,702.6262,-0.0770
5.5551,702.0117,-0.3844,-0.0021,702.6262,-0.0689
5.5759,702.0071,-0.3853,-0.0021,702.6262,-0.0668
5.5960,702.0025,-0.3862,-0.0021,702.5771,-0.0673
5.6162,701.9977,-0.3872,-0.0021,702.5771,-0.0736
5.6363,701.9929,-0.3883,-0.0022,702.5771,-0.0771
5.6564,701.9881,-0.3894,-0.0022,702.5771,-0.0758
5.6765,701.9832,-0.3905,-0.0022,702.5771,-0.0757
5.6966,701.9784,-0.3916,-0.0022,702.5924,-0.0802
5.7167,701.9737,-0.3928,-0.0023,702.5924,-0.0777
5.7368,701.9690,-0.3940,-0.0023,702.5924,-0.0823
5.7569,701.9643,-0.3952,-0.0023,702.6077,-0.0793
5.7771,701.9596,-0.3962,-0.0023,702.6077,-0.0726
5.7972,701.9550,-0.3972,-0.0024,702.6380,-0.0711
5.8173,701.9505,-0.3981,-0.0024,702.6380,-0.0716
5.8374,701.9460,-0.3990,-0.0024,702.6380,-0.0706
5.8575,701.9416,-0.4000,-0.0024,702.6687,-0.0753
5.8777,701.9372,-0.4009,-0.0025,702.6687,-0.0694
5.8978,701.9329,-0.4018,-0.0025,702.6373,-0.0766
5.9179,701.9284,-0.4029,-0.0025,702.6373,-0.0832
5.9380,701.9239,-0.4041,-0.0026,702.6373,-0.0813
5.9581,701.9195,-0.4052,-0.0026,702.6373,-0.0823
5.9783,701.9150,-0.4064,-0.0026,702.6373,-0.0892
5.9984,701.9105,-0.4075,-0.0026,702.6680,-0.0803
6.0185,701.9062,-0.4086,-0.0027,702.6680,-0.0776
6.0386,701.9018,-0.4097,-0.0027,702.6680,-0.0837
6.0587,701.8975,-0.4107,-0.0027,702.6833,-0.0787
6.0788,701.8933,-0.4117,-0.0028,702.6833,-0.0720
6.0989,701.8890,-0.4126,-0.0028,702.6986,-0.0763
6.1190,701.8849,-0.4134,-0.0028,702.6986,-0.0648
6.1391,701.8807,-0.4141,-0.0029,702.6986,-0.0661
6.1592,701.8766,-0.4148,-0.0029,702.6986,-0.0641
6.1794,701.8724,-0.4156,-0.0029,702.6986,-0.0662
6.1995,701.8683,-0.4163,-0.0030,702.6986,-0.0671
6.2196,701.8631,-0.4174,-0.0030,702.6986,-0.0734
6.2398,701.8590,-0.4182,-0.0030,702.6986,-0.0650
6.2599,701.8548,-0.4189,-0.0031,702.6986,-0.0714
6.2800,701.8507,-0.4197,-0.0031,702.6986,-0.0644
6.3001,701.8466,-0.4204,-0.0031,702.7139,-0.0624
6.3202,701.8426,-0.4210,-0.0032,702.7139,-0.0675
6.3403,701.8386,-0.4217,-0.0032,702.7139,-0.0632
6.3604,701.8346,-0.4224,-0.0032,702.7139,-0.0673
6.3806,701.8306,-0.4231,-0.0033,702.7139,-0.0678
6.4007,701.8266,-0.4238,-0.0033,702.7289,-0.0711
6.4208,701.8226,-0.4246,-0.0034,702.7289,-0.0706
6.4409,701.8187,-0.4255,-0.0034,702.7289,-0.0786
6.4612,701.8148,-0.4264,-0.0034,702.7289,-0.0716
6.4814,701.8109,-0.4271,-0.0035,702.7289,-0.0664
6.5015,701.8070,-0.4278,-0.0035,702.7289,-0.0686
6.5216,701.8031,-0.4285,-0.0035,702.7289,-0.0722
6.5418,701.7992,-0.4293,-0.0036,702.7289,-0.0696
6.5619,701.7952,-0.4301,-0.0036,702.7139,-0.0770
6.5820,701.7913,-0.4309,-0.0036,702.7139,-0.0718
6.6021,701.7873,-0.4317,-0.0037,702.7139,-0.0774
6.6222,701.7833,-0.4325,-0.0037,702.7139,-0.0738
6.6424,701.7794,-0.4333,-0.0038,702.7139,-0.0703
6.6625,701.7754,-0.4342,-0.0038,702.7139,-0.0753
6.6826,701.7715,-0.4350,-0.0038,702.7139,-0.0745
6.7028,701.7675,-0.4358,-0.0039,702.7139,-0.0755
6.7229,701.7636,-0.4367,-0.0039,702.7139,-0.0756
6.7430,701.7597,-0.4376,-0.0040,702.7139,-0.0848
6.7631,701.7557,-0.4385,-0.0040,702.7139,-0.0781
6.7832,701.7518,-0.4394,-0.0040,702.7139,-0.0754
6.8033,701.7478,-0.4403,-0.0041,702.6986,-0.0820
6.8234,701.7438,-0.4411,-0.0041,702.6986,-0.0715
6.8435,701.7398,-0.4420,-0.0041,702.6986,-0.0853
6.8636,701.7359,-0.4430,-0.0042,702.7139,-0.0803
6.8837,701.7319,-0.4439,-0.0042,702.7139,-0.0794
6.9039,701.7280,-0.4448,-0.0043,702.7139,-0.0821
6.9240,701.7241,-0.4457,-0.0043,702.7139,-0.0816
6.9441,701.7202,-0.4466,-0.0043,702.7139,-0.0806
6.9642,701.7163,-0.4474,-0.0044,702.7289,-0.0781
6.9843,701.7115,-0.4485,-0.0044,702.7289,-0.0777
7.0044,701.7077,-0.4493,-0.0045,702.7445,-0.0795
7.0245,701.7039,-0.4502,-0.0045,702.7445,-0.0825
7.0446,701.7002,-0.4511,-0.0046,702.6826,-0.0769
7.0647,701.6961,-0.4519,-0.0046,702.6826,-0.0777
7.0849,701.6921,-0.4528,-0.0046,702.6826,-0.0814
7.1050,701.6880,-0.4538,-0.0047,702.6826,-0.0842
7.1251,701.6839,-0.4547,-0.0047,702.6826,-0.0862
7.1452,701.6799,-0.4557,-0.0048,702.6826,-0.0855
7.1653,701.6758,-0.4567,-0.0048,702.6826,-0.0813
7.1854,701.6718,-0.4575,-0.0048,702.6826,-0.0791
7.2056,701.6677,-0.4584,-0.0049,702.6826,-0.0831
7.2257,701.6637,-0.4593,-0.0049,702.6826,-0.0781
7.2458,701.6596,-0.4600,-0.0050,702.6826,-0.0733
7.2659,701.6556,-0.4608,-0.0050,702.6826,-0.0719
7.2861,701.6516,-0.4615,-0.0050,702.6826,-0.0758
7.3062,701.6476,-0.4623,-0.0051,702.6979,-0.0785
7.3263,701.6436,-0.4631,-0.0051,702.6979,-0.0822
7.3464,701.6397,-0.4640,-0.0052,702.7132,-0.0806
7.3666,701.6358,-0.4648,-0.0052,702.7132,-0.0823
7.3867,701.6319,-0.4656,-0.0053,702.7132,-0.0747
7.4068,701.6281,-0.4664,-0.0053,702.7282,-0.0759
7.4269,701.6244,-0.4670,-0.0053,702.7282,-0.0697
7.4470,701.6206,-0.4677,-0.0054,702.7282,-0.0722
7.4671,701.6168,-0.4684,-0.0054,702.7282,-0.0771
7.4873,701.6131,-0.4690,-0.0055,702.7282,-0.0728
7.5074,701.6093,-0.4698,-0.0055,702.7132,-0.0782
7.5275,701.6054,-0.4705,-0.0056,702.7132,-0.0829
7.5476,701.6016,-0.4713,-0.0056,702.7132,-0.0795
7.5678,701.5978,-0.4721,-0.0056,702.7132,-0.0822
7.5879,701.5940,-0.4730,-0.0057,702.7132,-0.0854
7.6080,701.5902,-0.4738,-0.0057,702.7438,-0.0809
7.6281,701.5866,-0.4745,-0.0058,702.7438,-0.0732
7.6482,701.5829,-0.4750,-0.0058,702.7741,-0.0739
7.6684,701.5794,-0.4756,-0.0059,702.7741,-0.0730
7.6885,701.5760,-0.4763,-0.0059,702.7741,-0.0825
7.7086,701.5725,-0.4771,-0.0060,702.8048,-0.0834
7.7287,701.5692,-0.4778,-0.0060,702.8048,-0.0791
7.7488,701.5659,-0.4785,-0.0061,702.8354,-0.0790
7.7689,701.5627,-0.4792,-0.0061,702.8354,-0.0845
7.7890,701.5588,-0.4800,-0.0062,702.8354,-0.0760
7.8092,701.5556,-0.4806,-0.0062,702.8354,-0.0844
7.8293,701.5525,-0.4813,-0.0063,702.8354,-0.0760
7.8494,701.5493,-0.4819,-0.0063,702.8504,-0.0785
7.8695,701.5462,-0.4826,-0.0064,702.8504,-0.0839
7.8896,701.5432,-0.4833,-0.0064,702.8504,-0.0800
7.9098,701.5401,-0.4839,-0.0065,702.8504,-0.0823
7.9299,701.5370,-0.4845,-0.0066,702.8504,-0.0770
7.9500,701.5339,-0.4850,-0.0066,702.8166,-0.0690
7.9701,701.5307,-0.4854,-0.0067,702.8166,-0.0699
7.9903,701.5275,-0.4860,-0.0067,702.8166,-0.0783
8.0104,701.5244,-0.4864,-0.0068,702.8472,-0.0683
8.0305,701.5213,-0.4868,-0.0068,702.8472,-0.0683
8.0506,701.5183,-0.4872,-0.0069,702.8472,-0.0771
8.0708,701.5152,-0.4878,-0.0069,702.8472,-0.0753
8.0909,701.5122,-0.4884,-0.0070,702.8472,-0.0805
8.1110,701.5091,-0.4891,-0.0070,702.8472,-0.0890
8.1311,701.5061,-0.4898,-0.0071,702.8472,-0.0851
8.1512,701.5031,-0.4905,-0.0071,702.8932,-0.0842
8.1714,701.5003,-0.4912,-0.0072,702.8932,-0.0864
8.1915,701.4975,-0.4918,-0.0072,702.8932,-0.0842
8.2116,701.4947,-0.4925,-0.0073,702.8932,-0.0854
8.2317,701.4919,-0.4932,-0.0074,702.8932,-0.0852
8.2518,701.4892,-0.4938,-0.0074,702.9082,-0.0834
8.2720,701.4864,-0.4945,-0.0075,702.9082,-0.0853
8.2922,701.4837,-0.4951,-0.0075,702.9082,-0.0844
8.3123,701.4810,-0.4958,-0.0076,702.9082,-0.0878
8.3324,701.4783,-0.4966,-0.0076,702.9082,-0.0923
8.3525,701.4756,-0.4973,-0.0077,702.9238,-0.0901
8.3727,701.4729,-0.4979,-0.0078,702.9238,-0.0820
8.3928,701.4703,-0.4985,-0.0078,702.9238,-0.0795
8.4129,701.4676,-0.4990,-0.0079,702.9238,-0.0847
8.4330,701.4650,-0.4995,-0.0079,702.9238,-0.0776
8.4531,701.4624,-0.5000,-0.0080,702.9388,-0.0748
8.4732,701.4598,-0.5005,-0.0081,702.9388,-0.0865
8.4933,701.4573,-0.5010,-0.0081,702.9388,-0.0753
8.5134,701.4547,-0.5015,-0.0082,702.9238,-0.0743
8.5336,701.4521,-0.5018,-0.0082,702.9238,-0.0756
8.5537,701.4495,-0.5023,-0.0083,702.9545,-0.0778
8.5738,701.4464,-0.5028,-0.0084,702.9545,-0.0789
