time,altitude,velocity,accel_bias,alt (bmp),vert_accel
0.0000,702.9120,-0.0009,-0.0000,702.9120,-0.0916
0.0201,702.9120,-0.0022,-0.0000,702.9120,-0.0924
0.0402,702.9119,-0.0041,-0.0000,702.9120,-0.0941
0.0604,702.9109,-0.0061,0.0000,702.6836,-0.0901
0.0805,702.9097,-0.0080,0.0000,702.6836,-0.0928
0.1006,702.9084,-0.0100,0.0000,702.6993,-0.0886
0.1208,702.9071,-0.0118,0.0000,702.6993,-0.0822
0.1409,702.9058,-0.0136,0.0000,702.6993,-0.0851
0.1610,702.9043,-0.0154,0.0001,702.6499,-0.0819
0.1811,702.9027,-0.0172,0.0001,702.6499,-0.0773
0.2012,702.9010,-0.0190,0.0001,702.6499,-0.0833
0.2213,702.8994,-0.0208,0.0001,702.6499,-0.0774
0.2414,702.8977,-0.0225,0.0001,702.6499,-0.0775
0.2615,702.8960,-0.0242,0.0001,702.6655,-0.0760
0.2816,702.8940,-0.0262,0.0001,702.6655,-0.0701
0.3018,702.8922,-0.0278,0.0001,702.6189,-0.0736
0.3219,702.8902,-0.0295,0.0001,702.6189,-0.0721
0.3432,702.8883,-0.0311,0.0001,702.6338,-0.0763
0.3633,702.8863,-0.0328,0.0002,702.6338,-0.0780
0.3835,702.8844,-0.0345,0.0002,702.6338,-0.0719
0.4036,702.8824,-0.0362,0.0002,702.6338,-0.0771
0.4237,702.8805,-0.0379,0.0002,702.6338,-0.0760
0.4438,702.8784,-0.0395,0.0002,702.6025,-0.0738
0.4639,702.8763,-0.0411,0.0002,702.6025,-0.0683
0.4840,702.8740,-0.0426,0.0002,702.6025,-0.0669
0.5042,702.8718,-0.0442,0.0002,702.6025,-0.0661
0.5243,702.8696,-0.0457,0.0002,702.6025,-0.0702
0.5444,702.8673,-0.0473,0.0002,702.6332,-0.0712
0.5645,702.8652,-0.0490,0.0003,702.6332,-0.0722
0.5846,702.8630,-0.0506,0.0003,702.6332,-0.0760
0.6047,702.8607,-0.0523,0.0003,702.5841,-0.0772
0.6249,702.8582,-0.0541,0.0003,702.5841,-0.0789
0.6450,702.8558,-0.0558,0.0003,702.5994,-0.0787
0.6653,702.8534,-0.0576,0.0003,702.5994,-0.0779
0.6855,702.8509,-0.0593,0.0003,702.5994,-0.0779
0.7056,702.8485,-0.0610,0.0003,702.6147,-0.0745
0.7257,702.8461,-0.0627,0.0003,702.6147,-0.0779
0.7458,702.8437,-0.0643,0.0003,702.6300,-0.0739
0.7659,702.8413,-0.0659,0.0004,702.6300,-0.0721
0.7860,702.8389,-0.0674,0.0004,702.6300,-0.0687
0.8061,702.8365,-0.0690,0.0004,702.6453,-0.0716
0.8263,702.8342,-0.0705,0.0004,702.6453,-0.0693
0.8465,702.8312,-0.0724,0.0004,702.6140,-0.0713
0.8666,702.8286,-0.0740,0.0004,702.6140,-0.0709
0.8867,702.8260,-0.0757,0.0004,702.6140,-0.0802
0.9068,702.8235,-0.0774,0.0004,702.6293,-0.0841
0.9269,702.8210,-0.0793,0.0004,702.6293,-0.0870
0.9471,702.8184,-0.0811,0.0004,702.6446,-0.0842
0.9672,702.8159,-0.0830,0.0004,702.6446,-0.0883
0.9873,702.8134,-0.0849,0.0004,702.6446,-0.0877
1.0074,702.8109,-0.0868,0.0004,702.6753,-0.0882
1.0275,702.8085,-0.0886,0.0005,702.6753,-0.0845
1.0476,702.8061,-0.0903,0.0005,702.6902,-0.0781
1.0678,702.8037,-0.0919,0.0005,702.6902,-0.0770
1.0879,702.8013,-0.0935,0.0005,702.6902,-0.0787
1.1080,702.7986,-0.0952,0.0005,702.6415,-0.0802
1.1281,702.7959,-0.0969,0.0005,702.6415,-0.0793
1.1482,702.7932,-0.0987,0.0005,702.6565,-0.0810
1.1683,702.7906,-0.1003,0.0005,702.6565,-0.0762
1.1884,702.7879,-0.1019,0.0005,702.6565,-0.0775
1.2086,702.7852,-0.1035,0.0005,702.6565,-0.0738
1.2287,702.7824,-0.1050,0.0005,702.6565,-0.0696
1.2488,702.7797,-0.1066,0.0005,702.6718,-0.0757
1.2689,702.7770,-0.1081,0.0005,702.6718,-0.0779
1.2890,702.7743,-0.1098,0.0005,702.6718,-0.0749
1.3091,702.7717,-0.1114,0.0005,702.6871,-0.0823
1.3292,702.7690,-0.1131,0.0005,702.6871,-0.0772
1.3494,702.7663,-0.1147,0.0005,702.6429,-0.0802
1.3695,702.7633,-0.1165,0.0005,702.6429,-0.0869
1.3896,702.7604,-0.1182,0.0005,702.6429,-0.0777
1.4098,702.7576,-0.1198,0.0005,702.6888,-0.0747
1.4299,702.7549,-0.1213,0.0005,702.6888,-0.0746
1.4501,702.7521,-0.1228,0.0005,702.7195,-0.0721
1.4702,702.7495,-0.1242,0.0006,702.7195,-0.0663
1.4903,702.7469,-0.1256,0.0006,702.7195,-0.0713
1.5104,702.7443,-0.1270,0.0006,702.7498,-0.0663
1.5305,702.7418,-0.1283,0.0006,702.7498,-0.0673
1.5506,702.7393,-0.1298,0.0006,702.7498,-0.0726
1.5708,702.7367,-0.1311,0.0006,702.7498,-0.0644
1.5909,702.7342,-0.1325,0.0005,702.7498,-0.0681
1.6110,702.7317,-0.1339,0.0005,702.7804,-0.0686
1.6311,702.7293,-0.1352,0.0005,702.7804,-0.0663
1.6512,702.7260,-0.1369,0.0005,702.7160,-0.0724
1.6713,702.7232,-0.1384,0.0005,702.7160,-0.0748
1.6915,702.7204,-0.1400,0.0005,702.7160,-0.0784
1.7116,702.7176,-0.1417,0.0005,702.7160,-0.0846
1.7318,702.7148,-0.1433,0.0005,702.7160,-0.0855
1.7519,702.7119,-0.1451,0.0005,702.7313,-0.0897
1.7720,702.7091,-0.1469,0.0005,702.7313,-0.0896
1.7921,702.7063,-0.1486,0.0005,702.7466,-0.0821
1.8122,702.7035,-0.1502,0.0005,702.7466,-0.0826
1.8324,702.7007,-0.1518,0.0005,702.7466,-0.0810
1.8525,702.6977,-0.1533,0.0005,702.6822,-0.0724
1.8726,702.6946,-0.1548,0.0005,702.6822,-0.0753
1.8927,702.6914,-0.1563,0.0005,702.6822,-0.0752
1.9128,702.6882,-0.1578,0.0005,702.6822,-0.0710
1.9329,702.6851,-0.1593,0.0005,702.6822,-0.0727
1.9531,702.6819,-0.1607,0.0005,702.6976,-0.0718
1.9732,702.6787,-0.1621,0.0005,702.6976,-0.0662
1.9933,702.6756,-0.1635,0.0005,702.7129,-0.0685
2.0134,702.6725,-0.1649,0.0005,702.7129,-0.0765
2.0335,702.6694,-0.1665,0.0005,702.7129,-0.0805
2.0536,702.6664,-0.1678,0.0005,702.7435,-0.0715
2.0738,702.6634,-0.1693,0.0005,702.7435,-0.0734
2.0939,702.6604,-0.1707,0.0005,702.7585,-0.0721
2.1140,702.6575,-0.1721,0.0005,702.7585,-0.0767
2.1341,702.6546,-0.1736,0.0005,702.7585,-0.0752
2.1543,702.6516,-0.1750,0.0005,702.7738,-0.0727
2.1744,702.6487,-0.1764,0.0005,702.7738,-0.0727
2.1945,702.6458,-0.1777,0.0005,702.7578,-0.0673
2.2147,702.6429,-0.1791,0.0005,702.7578,-0.0709
2.2348,702.6398,-0.1804,0.0005,702.7578,-0.0688
2.2549,702.6368,-0.1818,0.0005,702.7578,-0.0772
2.2750,702.6338,-0.1832,0.0005,702.7578,-0.0764
2.2951,702.6308,-0.1847,0.0005,702.7731,-0.0809
2.3152,702.6278,-0.1861,0.0005,702.7731,-0.0706
2.3354,702.6248,-0.1876,0.0005,702.7731,-0.0751
2.3555,702.6218,-0.1889,0.0005,702.8037,-0.0722
2.3756,702.6190,-0.1903,0.0005,702.8037,-0.0755
2.3957,702.6161,-0.1918,0.0004,702.8187,-0.0769
2.4159,702.6126,-0.1936,0.0004,702.8187,-0.0801
2.4360,702.6097,-0.1949,0.0004,702.8187,-0.0684
2.4561,702.6069,-0.1964,0.0004,702.8187,-0.0790
2.4762,702.6040,-0.1978,0.0004,702.8187,-0.0710
2.4963,702.6012,-0.1992,0.0004,702.8344,-0.0716
2.5164,702.5983,-0.2004,0.0004,702.8344,-0.0641
2.5365,702.5955,-0.2016,0.0004,702.8344,-0.0689
2.5566,702.5927,-0.2028,0.0004,702.8344,-0.0622
2.5767,702.5899,-0.2039,0.0004,702.8344,-0.0694
2.5969,702.5870,-0.2051,0.0004,702.8493,-0.0652
2.6170,702.5842,-0.2063,0.0003,702.8493,-0.0676
2.6371,702.5814,-0.2074,0.0003,702.8493,-0.0605
2.6572,702.5787,-0.2085,0.0003,702.8650,-0.0639
2.6773,702.5760,-0.2097,0.0003,702.8650,-0.0724
2.6974,702.5732,-0.2110,0.0003,702.8650,-0.0670
2.7176,702.5705,-0.2122,0.0003,702.8650,-0.0766
2.7377,702.5677,-0.2136,0.0003,702.8650,-0.0768
2.7578,702.5648,-0.2148,0.0003,702.8180,-0.0673
2.7779,702.5617,-0.2160,0.0003,702.8180,-0.0700
2.7981,702.5587,-0.2173,0.0002,702.8180,-0.0804
2.8182,702.5557,-0.2188,0.0002,702.8180,-0.0690
2.8383,702.5526,-0.2200,0.0002,702.8180,-0.0796
2.8584,702.5495,-0.2216,0.0002,702.8030,-0.0802
2.8785,702.5463,-0.2227,0.0002,702.8030,-0.0677
2.8987,702.5432,-0.2240,0.0002,702.8030,-0.0669
2.9188,702.5400,-0.2252,0.0002,702.8030,-0.0716
2.9389,702.5368,-0.2264,0.0002,702.8030,-0.0630
2.9591,702.5337,-0.2276,0.0002,702.8180,-0.0707
2.9792,702.5306,-0.2288,0.0001,702.8180,-0.0689
2.9993,702.5275,-0.2300,0.0001,702.8337,-0.0640
3.0194,702.5244,-0.2311,0.0001,702.8337,-0.0705
3.0395,702.5213,-0.2324,0.0001,702.8337,-0.0743
3.0596,702.5183,-0.2337,0.0001,702.8486,-0.0760
3.0798,702.5153,-0.2351,0.0001,702.8486,-0.0799
3.0999,702.5123,-0.2365,0.0001,702.8337,-0.0830
3.1200,702.5091,-0.2378,0.0001,702.8337,-0.0709
3.1401,702.5060,-0.2391,0.0000,702.8337,-0.0793
3.1603,702.5029,-0.2405,0.0000,702.8337,-0.0851
3.1804,702.4997,-0.2420,0.0000,702.8337,-0.0830
3.2005,702.4965,-0.2435,0.0000,702.7842,-0.0853
3.2206,702.4922,-0.2453,-0.0000,702.7842,-0.0785
3.2407,702.4888,-0.2468,-0.0000,702.7842,-0.0858
3.2608,702.4854,-0.2482,-0.0000,702.7999,-0.0813
3.2809,702.4820,-0.2497,-0.0000,702.7999,-0.0809
3.3011,702.4787,-0.2510,-0.0001,702.8149,-0.0782
3.3212,702.4753,-0.2523,-0.0001,702.8149,-0.0746
3.3413,702.4720,-0.2536,-0.0001,702.8149,-0.0734
3.3614,702.4687,-0.2549,-0.0001,702.8149,-0.0771
3.3815,702.4653,-0.2562,-0.0001,702.8149,-0.0755
3.4017,702.4619,-0.2576,-0.0001,702.7999,-0.0807
3.4218,702.4585,-0.2590,-0.0001,702.7999,-0.0798
3.4419,702.4550,-0.2604,-0.0002,702.7842,-0.0785
3.4620,702.4514,-0.2617,-0.0002,702.7842,-0.0758
3.4821,702.4479,-0.2630,-0.0002,702.7842,-0.0778
3.5023,702.4443,-0.2643,-0.0002,702.7842,-0.0700
3.5224,702.4407,-0.2655,-0.0002,702.7842,-0.0719
3.5425,702.4372,-0.2667,-0.0002,702.7539,-0.0722
3.5626,702.4334,-0.2680,-0.0002,702.7539,-0.0747
3.5827,702.4297,-0.2693,-0.0002,702.7539,-0.0786
3.6029,702.4259,-0.2707,-0.0003,702.7386,-0.0797
3.6230,702.4220,-0.2721,-0.0003,702.7386,-0.0770
3.6431,702.4182,-0.2734,-0.0003,702.7386,-0.0787
3.6632,702.4143,-0.2748,-0.0003,702.7386,-0.0790
3.6833,702.4105,-0.2761,-0.0003,702.7386,-0.0747
3.7035,702.4066,-0.2774,-0.0003,702.7386,-0.0779
3.7236,702.4027,-0.2788,-0.0003,702.7386,-0.0768
3.7437,702.3989,-0.2801,-0.0004,702.7386,-0.0738
3.7638,702.3950,-0.2813,-0.0004,702.7386,-0.0771
3.7840,702.3911,-0.2826,-0.0004,702.7386,-0.0743
3.8041,702.3872,-0.2839,-0.0004,702.7386,-0.0751
3.8242,702.3833,-0.2852,-0.0004,702.7386,-0.0771
3.8444,702.3793,-0.2864,-0.0004,702.7386,-0.0752
3.8645,702.3754,-0.2877,-0.0004,702.7386,-0.0754
3.8846,702.3715,-0.2890,-0.0005,702.7386,-0.0701
3.9047,702.3676,-0.2901,-0.0005,702.7386,-0.0679
3.9249,702.3636,-0.2913,-0.0005,702.7386,-0.0730
3.9450,702.3597,-0.2925,-0.0005,702.7539,-0.0756
3.9651,702.3558,-0.2937,-0.0005,702.7539,-0.0735
3.9852,702.3520,-0.2950,-0.0005,702.7539,-0.0759
4.0053,702.3471,-0.2964,-0.0005,702.7539,-0.0705
4.0255,702.3433,-0.2976,-0.0006,702.7539,-0.0718
4.0456,702.3394,-0.2986,-0.0006,702.7386,-0.0654
4.0657,702.3354,-0.2996,-0.0006,702.7386,-0.0659
4.0858,702.3314,-0.3006,-0.0006,702.7386,-0.0612
4.1059,702.3275,-0.3015,-0.0006,702.7386,-0.0576
4.1261,702.3235,-0.3025,-0.0006,702.7386,-0.0666
4.1462,702.3196,-0.3036,-0.0007,702.7539,-0.0740
4.1663,702.3157,-0.3047,-0.0007,702.7539,-0.0683
4.1864,702.3118,-0.3059,-0.0007,702.7539,-0.0700
4.2066,702.3079,-0.3069,-0.0007,702.7539,-0.0690
4.2267,702.3041,-0.3081,-0.0007,702.7539,-0.0727
4.2468,702.3001,-0.3093,-0.0008,702.6770,-0.0765
4.2669,702.2958,-0.3106,-0.0008,702.6770,-0.0781
4.2870,702.2915,-0.3119,-0.0008,702.6770,-0.0766
4.3072,702.2873,-0.3133,-0.0008,702.6920,-0.0840
4.3273,702.2830,-0.3147,-0.0008,702.6920,-0.0881
4.3474,702.2788,-0.3161,-0.0008,702.6770,-0.0808
4.3675,702.2745,-0.3175,-0.0008,702.6770,-0.0772
4.3877,702.2701,-0.3188,-0.0009,702.6770,-0.0865
4.4078,702.2658,-0.3202,-0.0009,702.6613,-0.0761
4.4279,702.2613,-0.3215,-0.0009,702.6613,-0.0793
4.4480,702.2569,-0.3227,-0.0009,702.6613,-0.0750
4.4682,702.2525,-0.3239,-0.0009,702.6613,-0.0708
4.4883,702.2481,-0.3251,-0.0009,702.6613,-0.0739
4.5084,702.2437,-0.3262,-0.0010,702.6770,-0.0696
4.5285,702.2394,-0.3273,-0.0010,702.6770,-0.0676
4.5486,702.2351,-0.3284,-0.0010,702.6770,-0.0725
4.5687,702.2307,-0.3295,-0.0010,702.6770,-0.0707
4.5889,702.2264,-0.3306,-0.0010,702.6770,-0.0706
4.6090,702.2221,-0.3318,-0.0010,702.6770,-0.0762
4.6291,702.2177,-0.3330,-0.0011,702.6770,-0.0780
4.6492,702.2134,-0.3343,-0.0011,702.6920,-0.0754
4.6696,702.2091,-0.3354,-0.0011,702.6920,-0.0737
4.6897,702.2048,-0.3365,-0.0011,702.6920,-0.0740
4.7098,702.2006,-0.3376,-0.0011,702.7073,-0.0672
4.7300,702.1964,-0.3387,-0.0012,702.7073,-0.0725
4.7501,702.1912,-0.3400,-0.0012,702.7073,-0.0738
4.7702,702.1870,-0.3413,-0.0012,702.7073,-0.0783
4.7903,702.1828,-0.3423,-0.0012,702.7073,-0.0652
4.8104,702.1783,-0.3435,-0.0013,702.6582,-0.0790
4.8305,702.1739,-0.3447,-0.0013,702.6582,-0.0724
4.8507,702.1694,-0.3459,-0.0013,702.6582,-0.0837
4.8708,702.1650,-0.3472,-0.0013,702.6582,-0.0768
4.8909,702.1605,-0.3485,-0.0013,702.6582,-0.0832
